epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,6847.1,0.97491,1.19684,1.27999,0.92659,0.8104,0.88746,0.73188,0.56424,0.50224,0.8696,0.00541253,0.00541253,0.00541253
145,6889.75,0.97501,1.19531,1.27635,0.92422,0.8113,0.88793,0.73265,0.5637,0.50164,0.8693,0.00536081,0.00536081,0.00536081
146,6932.44,0.97344,1.19116,1.27695,0.92408,0.81169,0.88827,0.73282,0.56332,0.50072,0.8693,0.00530906,0.00530906,0.00530906
147,6975.29,0.97361,1.1844,1.27763,0.92481,0.81303,0.88903,0.73389,0.56262,0.50013,0.86906,0.00525728,0.00525728,0.00525728
148,7017.63,0.96753,1.18006,1.27242,0.92423,0.81518,0.88941,0.73407,0.56203,0.49957,0.86864,0.00520548,0.00520548,0.00520548
149,7063.46,0.9696,1.18943,1.2772,0.92503,0.81479,0.88982,0.73489,0.56156,0.49883,0.86836,0.00515366,0.00515366,0.00515366
150,7109.32,0.97066,1.19054,1.28004,0.9245,0.81609,0.88977,0.73482,0.56124,0.49842,0.86835,0.00510184,0.00510184,0.00510184
151,7152.1,0.95892,1.1797,1.27143,0.92457,0.81606,0.89014,0.7348,0.56092,0.49777,0.86826,0.00505,0.00505,0.00505
152,7195.09,0.96046,1.1756,1.26967,0.92522,0.81613,0.89057,0.73506,0.5607,0.49732,0.86808,0.00499816,0.00499816,0.00499816
153,7237.62,0.96107,1.17095,1.27463,0.92242,0.81643,0.89105,0.73548,0.5606,0.49674,0.8683,0.00494634,0.00494634,0.00494634
154,7280.46,0.95811,1.1813,1.26938,0.92502,0.81576,0.8911,0.73559,0.56017,0.49639,0.86814,0.00489452,0.00489452,0.00489452
155,7329.74,0.96933,1.19093,1.27602,0.92602,0.81608,0.89108,0.73566,0.55984,0.49597,0.868,0.00484272,0.00484272,0.00484272
156,7380.07,0.958,1.17791,1.26592,0.92749,0.81647,0.8915,0.73622,0.55968,0.49553,0.8681,0.00479094,0.00479094,0.00479094
157,7427.57,0.95268,1.16645,1.26282,0.92978,0.81661,0.89173,0.73636,0.55947,0.49481,0.86829,0.00473919,0.00473919,0.00473919
158,7477.25,0.95784,1.1708,1.26856,0.92821,0.8173,0.89226,0.73689,0.5593,0.49428,0.86833,0.00468747,0.00468747,0.00468747
159,7526.84,0.9544,1.16841,1.267,0.92972,0.81735,0.89252,0.73731,0.55897,0.49358,0.86822,0.00463579,0.00463579,0.00463579
160,7576.68,0.95232,1.17121,1.26718,0.91974,0.82258,0.89343,0.73772,0.55879,0.49288,0.86824,0.00458416,0.00458416,0.00458416
161,7626.34,0.95789,1.17277,1.26963,0.91946,0.82384,0.89338,0.73793,0.55844,0.49229,0.86826,0.00453258,0.00453258,0.00453258
162,7671.9,0.95208,1.17065,1.26555,0.91953,0.82426,0.89349,0.7383,0.55818,0.49167,0.86823,0.00448106,0.00448106,0.00448106
163,7714.98,0.93886,1.15661,1.25924,0.92089,0.82342,0.8935,0.73885,0.55799,0.4911,0.86834,0.0044296,0.0044296,0.0044296
164,7757.92,0.95666,1.17287,1.26605,0.92366,0.82371,0.89382,0.73864,0.55772,0.49034,0.86821,0.00437821,0.00437821,0.00437821
165,7800.86,0.95591,1.17028,1.2689,0.91876,0.82594,0.8942,0.73962,0.55751,0.48971,0.86833,0.00432689,0.00432689,0.00432689
166,7844.02,0.94164,1.15716,1.26025,0.9187,0.82594,0.89403,0.73973,0.55735,0.48918,0.86855,0.00427565,0.00427565,0.00427565
167,7887.03,0.94764,1.16229,1.26072,0.91868,0.82594,0.89418,0.74019,0.55715,0.48859,0.86853,0.00422449,0.00422449,0.00422449
168,7930.92,0.94098,1.15596,1.25416,0.91958,0.8249,0.89436,0.73992,0.55658,0.48801,0.86844,0.00417343,0.00417343,0.00417343
169,7978.23,0.94867,1.15714,1.26474,0.92131,0.82484,0.89485,0.73978,0.55645,0.48756,0.86843,0.00412246,0.00412246,0.00412246
170,8022.88,0.93033,1.14182,1.25222,0.92138,0.82468,0.8952,0.7404,0.55635,0.48693,0.86847,0.0040716,0.0040716,0.0040716
171,8066.05,0.93943,1.14899,1.25839,0.92273,0.8247,0.89527,0.74106,0.5562,0.48645,0.86841,0.00402084,0.00402084,0.00402084
